SAMPLES,STRUCTURE,INTERCEPT,TOPIC_1,TOPIC_2,SIGMA,TP,FP,TN,FN,PRECISION,RECALL,F1,ACCURACY
7500,STG,-0.540676574600117,-0.9829879471406894,0.7858686219679942,0.2645184538637506,3,0,2,0,1,1,1,1
7500,IFG,-0.632216787172974,-0.19327139634865143,0.9706844339862085,0.7906747713085771,0,0,3,2,NaN,0,NaN,0.6
10000,STG,0.17411701108354435,-0.9897438437395942,0.9512794176279674,0.15725753319892322,3,0,2,0,1,1,1,1
10000,IFG,0.15738780064436397,0.8812785519186168,-0.8809177717351697,0.26890606040479154,2,1,2,0,0.6666666666666666,1,0.8,0.8
1,STG,-0.544843015432817,0.5864641153002621,0.15634269487649555,1.0883917379553854,0,2,0,3,0,0,0,0
1,IFG,0.5822352472831382,-0.5036944823342853,0.04473720483069821,0.09976691755664113,2,3,0,0,0.4,1,0.5714285714285714,0.4
5,STG,0.8649029932372145,-0.4076664930897982,-0.8471530133833588,1.8962330165409211,3,2,0,0,0.6,1,0.7499999999999999,0.6
5,IFG,-0.22285131288011398,-0.3016658912284889,0.30371438981227383,1.0278472378767967,0,3,0,2,0,0,0,0
10,STG,0.8012621468993555,0.11846710691268167,0.29285236860635105,1.6928287839270824,3,2,0,0,0.6,1,0.7499999999999999,0.6
10,IFG,-0.9854805580527929,-0.7896211377390477,0.36002691234277556,0.905758853634512,0,0,3,2,NaN,0,NaN,0.6
50,STG,-0.9058898914185334,0.567867977743406,0.9743785247014125,0.6198971730180066,3,0,2,0,1,1,1,1
50,IFG,-0.7301028940846426,0.2730786874254874,0.7919005079369552,1.9729395230711968,0,0,3,2,NaN,0,NaN,0.6
100,STG,-0.20346756255292556,-0.11183546102206804,-0.060333126487650365,1.0392171846884533,0,2,0,3,0,0,0,0
100,IFG,0.1265792300666692,-0.16196845317421263,0.10615803796586726,0.3345505338898864,0,0,3,2,NaN,0,NaN,0.6
